Postal,Block,lat,long
760201,201,1.4306372509999998,103.8381317
760202,202,1.4306656969999998,103.8373333
760203,203,1.430683177,103.8365766
760204,204,1.430712741,103.835796
760205,205,1.431069706,103.8363086
760206,206,1.431241629,103.8367827
760207,207,1.431226655,103.83715529999999
760208,208,1.431020129,103.8376196
760209,209,1.431387636,103.837696
760210,210,1.431325792,103.838868
760211,211,1.431747562,103.8382921
760212,212,1.4317831730000001,103.83743840000001
760213,213,1.431812314,103.8365336
760214,214,1.4314460880000002,103.8363209
760215,215,1.431627025,103.83567049999999
760216,216,1.432270645,103.83639840000001
760217,217,1.432622684,103.8363187
760218,218,1.432963645,103.83623759999999
760219,219,1.4333168619999999,103.8361555
760220,220,1.4336167219999998,103.83524399999999
760221,221,1.4337177380000001,103.8360515
760222,222,1.434029953,103.835725
760223,223,1.434367282,103.8356027
760224,224,1.4346306219999998,103.8352055
760225,225,1.434835887,103.835813
760226,226,1.4344182380000001,103.836163
760227,227,1.4350697159999999,103.8366448
760228,228,1.435337476,103.837523
760229,229,1.4349120069999999,103.8372004
760230,230,1.434576233,103.83662079999999
760231,231,1.4340712869999999,103.8370792
760232,232,1.43459992,103.83740949999999
760233,233,1.434948834,103.8381596
760234,234,1.434353515,103.8379195
760235,235,1.4342288930000002,103.838544
760236,236,1.43416808,103.8389989
760237,237,1.4334541219999999,103.83891870000001
760238,238,1.4329295819999999,103.8393186
760239,239,1.433595146,103.83968540000001
760240,240,1.432698719,103.8393691
760241,241,1.4321201559999999,103.8391231
760242,242,1.432707915,103.8400524
760243,243,1.43352113,103.84062709999999
760244,244,1.433742263,103.8412579
760245,245,1.434542199,103.8421142
760246,246,1.4350908580000001,103.842691
760247,247,1.434997806,103.8420692
760248,248,1.435660494,103.842373
760249,249,1.4352406869999998,103.84185240000001
760250,250,1.435530626,103.8416736
760251,251,1.4347484480000001,103.8413872
760252,252,1.4346870790000001,103.8411535
760253,253,1.435074739,103.840795
760254,254,1.4346189169999999,103.8405839
760255,255,1.434316315,103.8406895
760256,256,1.434093421,103.8399792
760257,257,1.434567049,103.8394447
760258,258,1.435155732,103.8398043
760259,259,1.434980064,103.8389647
760260,260,1.435477541,103.8392765
760261,261,1.435309736,103.8386063
760262,262,1.4357801119999998,103.8391709
760263,263,1.4361629809999998,103.8391111
760264,264,1.4358741659999998,103.8385037
760291,291,1.435760804,103.83672390000001
760292,292,1.4367247840000001,103.83696640000001
760293,293,1.436114254,103.8376052
760296,296,1.435392246,103.83550100000001
760297,297,1.435784121,103.835379
760298,298,1.43580262,103.8350717
760299,299,1.43630991,103.834571
760302,302,1.4300345540000001,103.8396748
760303,303,1.4302686390000001,103.84006720000001
760304,304,1.4305153330000002,103.840307
760305,305,1.4308665680000001,103.83942590000001
760306,306,1.431084969,103.8402478
760308,308,1.4312298380000001,103.84056
760309,309,1.432376504,103.8405877
760310,310,1.432359225,103.84109740000001
760311,311,1.431575071,103.84081529999999
760312,312,1.431416566,103.8414574
760314,314,1.431731417,103.8417528
760320,320,1.4294431109999999,103.84140740000001
760321,321,1.428879611,103.84152859999999
760322,322,1.428734428,103.84083620000001
760323,323,1.428179153,103.84127149999999
760324,324,1.428661503,103.8419995
760325,325,1.4292385619999999,103.8421457
760326,326,1.429551047,103.8424397
760327,327,1.430071099,103.8423964
760328,328,1.429779542,103.84305690000001
760329,329,1.430301256,103.8426182
760330,330,1.430941645,103.84257480000001
760331,331,1.430613135,103.84305359999999
760332,332,1.4304678569999998,103.84346670000001
760343,343,1.4291653999999998,103.84388890000001
760344,344,1.4290305,103.84430350000001
760345,345,1.428475919,103.844071
760346,346,1.4284593509999999,103.8435688
760349,349,1.4261337509999998,103.84339150000001
760350,350,1.425479851,103.844279
760351,351,1.426429316,103.84407209999999
760352,352,1.426462542,103.84490890000001
760353,353,1.4261372780000001,103.8452165
760354,354,1.4257859730000002,103.8452281
760355,355,1.425404168,103.84484309999999
760356,356,1.4253105119999998,103.8454557
760357,357,1.426091761,103.84599759999999
760358,358,1.4268519709999998,103.8459661
760359,359,1.427419194,103.8457022
760360,360,1.427737475,103.8456859
760361,361,1.428324759,103.8459083
760362,362,1.428508539,103.8448942
760363,363,1.4289049669999998,103.8452061
760364,364,1.429045941,103.8446216
760365,365,1.429247793,103.8451922
760366,366,1.429080985,103.8458797
760367,367,1.429591953,103.84512140000001
761269,269A,1.436902395,103.8410324
761315,315A,1.432383854,103.84238409999999
761316,316A,1.4333553069999998,103.8427051
761317,317A,1.434505929,103.843292
761318,318A,1.434074497,103.84357359999998
761342,342A,1.430597111,103.8444648
761347,347A,1.427939244,103.842677
761348,348A,1.427353081,103.8412192
761350,350A,1.4260422130000001,103.844359
761355,355A,1.426017176,103.8446546
762269,269B,1.436495939,103.841261
762315,315B,1.431930856,103.84256500000001
762316,316B,1.4328693209999999,103.8426976
762317,317B,1.434168785,103.8429504
762318,318B,1.4336783359999998,103.8438713
762342,342B,1.430245961,103.84483829999999
762347,347B,1.427495093,103.8423771
762348,348B,1.4272781319999999,103.84198
763315,315C,1.432367366,103.8433009
763316,316C,1.4329230609999999,103.8434727
763317,317C,1.433780483,103.84310570000001
763318,318C,1.43338279,103.8435179
763342,342C,1.429918918,103.8443675
763348,348C,1.42714143,103.8422313
764348,348D,1.426926621,103.842897
